Algoritmo,Media,Desvio,Min,Max,Tempo(s)
AG_Final,7251.06,135.10,6997.82,7515.09,2.2448
ACO_Final,9001.47,167.08,8639.54,9327.47,90.0629
SA_Final,7574.58,3.79,7554.18,7575.29,0.0809
