Algoritmo,Media Dist,Desvio,Min,Max,Tempo Medio (s)
AG_Padrao,7575.29,0.00,7575.29,7575.29,0.2454
AG_AltaMutacao,7575.29,0.00,7575.29,7575.29,0.1287
ACO_Padrao,12019.51,199.42,11820.09,12218.93,4.0195
SA_Padrao,7575.29,0.00,7575.29,7575.29,0.0203
