Algoritmo,Media,Desvio,Min,Max,Tempo(s)
AG_Final,747.11,19.70,699.46,777.21,1.0864
ACO_Final,729.76,11.38,703.42,748.05,36.7014
SA_Final,805.53,0.00,805.53,805.53,0.0766
