Algoritmo,Media,Mediana,Desvio Padrao,Melhor,Pior
AG_Padrao,3260.5248534563325,3260.5248534563325,190.54318929317674,3069.9816641631555,3451.068042749509
AG_AltaMutacao,3064.9842584792996,3064.9842584792996,152.4480184573879,2912.5362400219115,3217.4322769366872
ACO_Padrao,1160.337892487058,1160.337892487058,31.03660759743059,1129.3012848896276,1191.3745000844888
SA_Padrao,762.3314364923934,762.3314364923934,0.0,762.3314364923934,762.3314364923934
